inchi_key,gcm_cluster,cluster_size,cid,smiles,rscore_mean_all,rscore_mean_enriched,cpd_profile_score,cpd_profile_score_rank,rscore_x_dir_max_enriched,rscore_active
STJKMVXEDVFYGK-UHFFFAOYSA-N,19453,6,44825360,COc1ccc(CNS(=O)(=O)c2ccc(F)cc2Br)cc1,0.34231825139436645,-0.3,-0.8763774609679988,6,-0.3,0.0
LPVWEORWKBYMBI-VMPITWQZSA-N,19473,6,749267,CC1(C)COC(/C=C/c2ccc([N+](=O)[O-])cc2)=N1,0.9081074984274539,8.52006758522879,9.38222358033908,1,13.04013517045758,1.0
KZXOMDOFIZQGCR-VOTSOKGWSA-N,19473,6,715971,CC1(C)COC(/C=C/c2cccc([N+](=O)[O-])c2)=N1,0.6999770416072079,3.7863377643355194,5.409231359419675,2,4.5,1.0
YTSRULMQDDSWNN-OWOJBTEDSA-N,19473,6,5373339,O=[N+]([O-])c1ccc(/C=C/c2ccncc2)cc1,0.5506628434912542,2.0984125561655875,3.8107030117765976,3,4.196825112331175,1.0
OETQWIHJPIESQB-OWOJBTEDSA-N,19473,6,759250,O=[N+]([O-])c1ccc(/C=C/c2ccc(O)cc2)cc1,4.7,0.0,0.0,4,,0.0
HRAKATKGFJQPEN-VMPITWQZSA-N,19473,6,5996422,O=[N+]([O-])c1ccc(/C=C/S(=O)(=O)n2ccnc2)cc1,1.0,0.0,0.0,5,,0.0
FUBYAFFPTIMRDR-ZZXKWVIFSA-N,19473,6,5703073,O=[N+]([O-])c1ccc(/C=C/c2nccc3ccsc23)cc1,0.0,0.0,0.0,6,,0.0
HEHOHKSRKWTFFB-VOTSOKGWSA-N,19489,6,6199549,Cn1c(Cl)cnc1/C=C/C(=O)c1ccc(O)cc1,0.989244314282515,6.455830466162497,6.526022311126265,1,6.455830466162497,1.0
ZTYHXBUDOSNOCB-WEVVVXLNSA-N,19489,6,5354467,CN(C)c1ccc(/C=C/C(=O)c2cc(Cl)ccc2O)cc1,0.6975322465643015,4.336005536974811,6.2162080080624635,2,4.336005536974811,1.0
HOFXWHWZEHOWPR-SNAWJCMRSA-N,19489,6,5898134,Cn1c(Cl)cnc1/C=C/C(=O)c1cc(Cl)ccc1O,1.0448487706453193,5.9740520731652955,5.717623680100234,3,5.9740520731652955,1.0
QBBFQBPTZNVWQY-VOTSOKGWSA-N,19489,6,5898784,Cn1c(Cl)cnc1/C=C/C(=O)c1ccccc1O,1.3079314229340853,5.684985037366975,4.346546720785892,4,5.684985037366975,1.0
OXGJWTBAFKSYOI-HNQUOIGGSA-N,19489,6,5357374,O=C(/C=C/c1ccncc1)c1cc(Cl)ccc1O,0.4490340350296116,2.6016033221848867,5.793777574150529,5,2.6016033221848867,0.0
NZCPOWKQXJUSKP-GQCTYLIASA-N,19489,6,5357166,O=C(/C=C/c1cccs1)c1cc(Cl)ccc1O,0.26066637794202563,-0.6744897501960817,-2.5875594525124903,6,-0.6744897501960817,0.0
AKVGDCSDHQWUBP-UHFFFAOYSA-N,19503,6,665910,Clc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1Cl,0.6577086884696283,8.0,12.16343974201494,1,8.0,1.0
ULCSNUROIAXSPI-UHFFFAOYSA-N,19503,6,665421,Clc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1,0.8014360034921898,3.7,4.616712980047767,2,3.7,1.0
UFCUKEBFFXZCFO-UHFFFAOYSA-N,19503,6,665525,Brc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1,0.9945938754447676,4.1,4.122285589348256,3,4.1,1.0
ACVBVAZZTCFOQR-UHFFFAOYSA-N,19503,6,665554,Fc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1,0.3948847860227931,0.4,1.0129536871468927,4,0.4,0.0
GIZWZZKWNAZVAX-UHFFFAOYSA-N,19503,6,665761,CC(C)(C)C1=Nn2c(nnc2-c2n[nH]c3c2CCC3)SC1,0.2133111974409764,0.2,0.9375972869653989,5,0.2,0.0
FBUCJXISBOYXDM-UHFFFAOYSA-N,19503,6,665766,CC1=Nn2c(nnc2-c2n[nH]c3c2CCC3)SC1,0.24701233132942946,0.1,0.4048380882921769,6,0.1,0.0
XHKAHVBJKZYPHW-UHFFFAOYSA-N,19513,6,2819922,CN(C)C(=O)c1ccc(-c2cc(C(F)(F)F)nn2C)s1,0.790967367620183,9.306311232258546,11.765733471734539,1,10.1,1.0
JFFIYJZSMBSCPM-UHFFFAOYSA-N,19513,6,621265,CNC(=O)c1ccc(-c2cc(C(F)(F)F)nn2C)s1,0.4610441924181774,5.140324898663771,11.149310593639104,2,5.9,1.0
YUINHXMHMCDGHD-UHFFFAOYSA-N,19513,6,2820380,Cn1nc(C(F)(F)F)cc1-c1ccc(S(N)(=O)=O)s1,0.5609827375493925,4.690891842890346,8.361918342411258,3,5.8,1.0
QXVRPXHRTGRTCF-IMQHNOMCSA-N,19542,6,44825951,CCCCC[C@@H](/C=C/C1C(=O)C=C[C@H]1C/C=C\CCCC(=O)O)OC(C)=O,0.41444412355969434,8.7,20.991973357650703,1,8.7,1.0
OITWMZPDHTWCSM-OXZOPIIUSA-N,19542,6,44825952,CCCCC[C@H](O)/C=C/C1C(=O)C=C[C@H]1C/C=C\CCCC(=O)OC,0.6934404278183536,5.6,8.075675682218685,2,5.6,1.0
VLWMAQXXFIYMDG-IPIGEPBISA-N,19542,6,44825953,CCCCC[C@@H](/C=C/C1C(=O)C=C[C@H]1C/C=C\CCCC(=O)OC)OC(C)=O,1.6855122586222278,5.1,3.025786358960595,3,5.1,1.0
MYHXHCUNDDAEOZ-FOSBLDSVSA-N,19542,6,5280880,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,1.0,0.0,0.0,4,,0.0
UQOQENZZLBSFKO-POPPZSFYSA-N,19542,6,5280884,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O,0.8,0.0,0.0,5,,0.0
TUXFWOHFPFBNEJ-GJGHEGAFSA-N,19542,6,5280885,CCCCC[C@H](O)C/C=C1/C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O,1.1,0.0,0.0,6,,0.0
DLZBYQYRYCUQNS-VAWYXSNFSA-N,19550,6,5721593,Cc1[nH]c(=O)c(C(=O)/C=C/c2ccccc2)c2c1CCCC2,0.7167604388054952,5.900000000000001,8.231481092668206,1,6.6,1.0
MCVQZEIYWZQXKB-VAWYXSNFSA-N,19550,6,5339344,COc1ccccc1/C=C/C(=O)c1c2c(c(C)[nH]c1=O)CCCC2,0.6682582758613378,5.166666666666667,7.731541610924605,2,6.7,1.0
YXZKKQAZJWYKNB-ZHACJKMWSA-N,19550,6,5721594,Cc1[nH]c(=O)c(C(=O)/C=C/c2ccccc2F)c2c1CCCC2,1.0580315992360998,7.1000000000000005,6.710574622843221,3,8.9,1.0
AFFISXLBJAWJBH-BQYQJAHWSA-N,19550,6,5995576,Cn1c(N)c(C(=O)/C=C/c2ccccc2)c(=O)[nH]c1=O,0.5609788366403522,-0.03333333333333333,-0.059419948055373054,4,0.0,0.0
CHOGOJRXTXPNGY-UHFFFAOYSA-N,19572,6,49789932,CN(C(=O)CN1CCN(c2cc(-c3ccc(OCc4ccccc4)cc3)ncn2)CC1)c1ccccc1,0.990703288167621,5.5,5.551611734500908,1,5.5,1.0
SKAIFRHCZSJFOF-UHFFFAOYSA-N,19572,6,46942750,CN(C(=O)CN1CCN(c2cc(-c3ccc(-c4ccccc4)cc3)ncn2)CC1)c1ccccc1,0.8981255140071499,4.9,5.455807594350328,2,4.9,1.0
PMXXZJRHUAUWQK-UHFFFAOYSA-N,19572,6,49792765,CN(C(=O)CN1CCN(c2cc(-c3cccc4oc5ccccc5c34)ncn2)CC1)c1ccccc1,0.2945934261930151,0.8,2.7156071007363445,3,0.8,0.0
AGFIHVNQIYNJKH-UHFFFAOYSA-N,19572,6,126474089,CN(C(=O)CN1CCN(c2cc(-c3ccncc3)ncn2)CC1)c1ccccc1,0.7,0.0,0.0,4,,0.0
OTPVJSFVGFAMLJ-UHFFFAOYSA-N,19572,6,2568396,CN(C(=O)CN1CCN(c2ccccc2O)CC1)c1ccccc1,0.0,0.0,0.0,5,,0.0
JABBSSVRGAQHOP-UHFFFAOYSA-N,19572,6,16243307,CCN1CCN(CC(=O)N(C)c2ccccc2)CC1.O=C(O)C(=O)O,0.0,0.0,0.0,6,,0.0
XRMVNZGSGIZEDW-UHFFFAOYSA-N,19621,6,1489678,Clc1ccc(C2=Nc3cc(Cl)ccc3OC2)cc1,0.4510144026992248,5.222335362135094,11.579087787176046,1,7.044670724270187,1.0
AAIYJZKKBMDVSP-UHFFFAOYSA-N,19621,6,1489679,O=[N+]([O-])c1ccc(C2=Nc3cc(Cl)ccc3OC2)cc1,0.376935100136929,3.947845611939012,10.473542024886726,2,5.695691223878024,1.0
MVFYNYBOUMHDPN-UHFFFAOYSA-N,19621,6,1489662,Cc1ccc2c(c1)N=C(c1ccc(Cl)cc1)CO2,0.6933784085308393,6.109580237233134,8.811321728604705,3,7.7191604744662685,1.0
AUXBNOADBOUOEQ-UHFFFAOYSA-N,19621,6,1489660,Cc1ccc2c(c1)N=C(c1ccc(F)cc1)CO2,0.6006260121762969,3.472788917516354,5.781948911824709,4,5.845577835032708,1.0
WKJZBKCRWADDHU-UHFFFAOYSA-N,19621,6,1481803,COc1ccc(C2=Nc3ccccc3OC2)cc1,0.6044657401589104,2.7855440424183135,4.608274476707333,5,5.171088084836627,1.0
IJSRZRBTLZHKOY-UHFFFAOYSA-N,19621,6,1489664,COc1ccc(C2=Nc3cc(C)ccc3OC2)cc1,0.47817643483218153,1.8864511531808346,3.9450943538087446,6,2.772902306361669,0.0
JBICABPBRPGFNV-UHFFFAOYSA-N,19677,6,700515,Cc1cc(C)c2c(N=NN3CCCCC3)[nH]nc2n1,0.44645397413074833,7.9,17.69499311856592,1,8.4,1.0
JMNXSSAHFLUAIV-UHFFFAOYSA-N,19677,6,769051,Cc1cc(C)c2c(N=NN(C)C)[nH]nc2n1,0.30292835352174574,5.15,17.00071960953073,2,7.4,1.0
