inchi_key,gcm_cluster,cluster_size,cid,smiles,rscore_mean_all,rscore_mean_enriched,cpd_profile_score,cpd_profile_score_rank,rscore_x_dir_max_enriched,rscore_active,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
QLKONCNMXNWNKG-UHFFFAOYSA-N,4215,54,4571723,CC1CCCC(C)N1C(=O)Cn1cnc2cc([N+](=O)[O-])ccc2c1=O,0.2566881005839734,3.8,14.80395854484443,1,3.8,1.0,54,42,41,1,0.024390243902439,1,0,yes
IBHVCRNQOHEHAB-UHFFFAOYSA-N,4228,54,2342676,COc1ccc(NS(=O)(=O)c2ccc3oc(SC)nc3c2)cc1,0.3392917387975715,6.5,19.15755456656737,1,6.5,1.0,54,40,45,1,0.0222222222222222,1,0,yes
IHKNYPYJYZUMMA-UHFFFAOYSA-N,4236,54,107346,Cl.O=C(c1ccccc1)C(CN1CCCC1)c1ccccc1,0.4333333333333333,5.1,11.76923076923077,1,5.1,1.0,54,31,12,1,0.0833333333333333,1,0,yes
FXUFOVCCNAEZHK-UHFFFAOYSA-N,4240,54,3815037,Cc1cc(Cl)n2ncc(-c3ccccc3)c2n1,0.6848248523345467,10.342176169673252,15.10192881350187,1,10.342176169673252,1.0,54,44,35,1,0.0285714285714285,0,1,yes
FKFVNEMKVJISPX-UHFFFAOYSA-N,4261,54,1489051,CC(=O)Nc1ccc(Oc2sc(C(=O)c3ccccc3)c(N)c2C#N)cc1,0.4140291830874499,5.9,14.250203224814278,1,5.9,1.0,54,24,79,1,0.0126582278481012,1,0,yes
DOKCXCIRWPEXIW-UHFFFAOYSA-N,4268,54,3829403,Cc1ccc(S(=O)(=O)c2c(N)n(CCC(C)C)c3nc4ccccc4nc23)cc1,0.3198701448399374,5.4,16.881850610666252,1,5.4,1.0,54,41,63,1,0.0158730158730158,1,0,yes
DFUCCAVFTXNGRW-UHFFFAOYSA-N,4350,52,7539176,CC(C)(C)C(=O)N1CCN(c2nc3ccc(Br)cc3s2)CC1,0.444780125746601,5.941933513632149,13.359260384348584,1,7.644217168888926,1.0,52,27,75,2,0.0266666666666666,0,2,yes
GXHUYHUQMWFDKI-UHFFFAOYSA-N,4374,52,16192322,Cc1ncc(CN2CCCC(C(=O)c3ccc(C(C)(C)C)cc3)C2)s1,0.81953418829932,7.648915579142174,9.33324770137417,1,8.3,1.0,52,42,74,2,0.027027027027027,1,1,yes
NDRGFKPZJMHVBC-UHFFFAOYSA-N,4404,52,46904844,Cc1ccc(-c2ccc(C3=CC(=O)CC(C)(C)C3=O)cc2)cc1,1.9455056246344264,11.23441015396516,5.774545193656884,1,14.3,1.0,52,52,19,2,0.1052631578947368,0,2,yes
AWBIGBCHZDKWET-UHFFFAOYSA-N,4428,51,5210284,Cc1cc(Cl)n2nc(C)c(-c3ccc(Cl)cc3)c2n1,0.5073108113404783,11.3,22.27431339407447,1,11.3,1.0,51,26,65,1,0.0153846153846153,1,0,yes
BYLKWMPIZGRAOD-VGOFMYFVSA-N,4449,51,5379238,CCN(CC)c1ccc(/C=C/C(=O)c2ccc(Br)cc2)cc1,1.3711399646741933,6.825,4.977610000319507,1,7.5,1.0,51,26,33,4,0.1212121212121212,4,0,yes
ZRWQBDNMCSPGLI-RGVLZGJSSA-N,4470,51,135641513,CCOc1cc(/C=N/Nc2cc(C)nc(-n3nc(C)cc3C)n2)ccc1O,0.2914914361493371,3.856823891004908,13.231345462337964,1,5.1,1.0,51,28,49,2,0.0408163265306122,2,0,yes
XQJCBSQYXUTYSZ-WOJGMQOQSA-N,4490,50,135558451,C/C(=N\NC(=O)c1cc2c(s1)CCC(C)C2)c1ccc[nH]1,0.8469387370072267,10.417119475250596,12.29973198777152,1,10.417119475250596,1.0,50,43,36,1,0.0277777777777777,0,1,yes
ZJIHAOIPHJHVTI-UHFFFAOYSA-N,4538,50,24818204,O=C(Nc1ncccc1O)c1ccc(OCC2CCCO2)cc1,0.8112093648482213,7.7,9.492000873831978,1,7.7,1.0,50,48,25,1,0.04,1,0,yes
LRLFFVDSXUGEAI-UHFFFAOYSA-N,4546,50,135521415,CCc1ccc[n+](-c2[nH]c(=O)sc2/C=N/N/C([S-])=N/c2ccccc2)c1,0.8959696818726941,23.3,26.005344233635167,1,23.3,1.0,50,28,68,1,0.0147058823529411,0,1,yes
QZIWSBDAUOASFY-KIVTUJJHSA-N,4556,50,16195655,COc1ccc(C[C@H]2CN3C(=NC[C@@H]3C(C)C)N2C[C@H](C)NC(=O)c2ccc(C)c(Br)c2)cc1,0.5971489763680115,3.5,5.861183956619591,1,3.5,1.0,50,49,18,1,0.0555555555555555,1,0,yes
AFCDRCGFABVLOV-UHFFFAOYSA-N,4576,49,24793884,COc1ccc(CN2CCCC(C(=O)c3ccc4c(c3)OCO4)C2)c(F)c1,0.3855355303129044,5.303911541764708,13.757257437362522,1,8.9,1.0,49,35,88,3,0.034090909090909,3,0,yes
JFJKOAHMOHTJTL-UHFFFAOYSA-N,4578,49,893344,Cn1nnc2cc(NC(=O)Nc3cccc(Cl)c3)ccc21,0.7895096678479224,10.042402947363884,12.719797307533767,1,10.042402947363884,1.0,49,31,39,1,0.0256410256410256,0,1,yes
KGFJYCDTAMUZNR-UHFFFAOYSA-N,4609,49,800646,Cc1c(Cl)cccc1NC(=S)NCc1cccs1,0.361250420451113,5.0,13.840814340800566,1,5.0,1.0,49,32,86,1,0.0116279069767441,0,1,yes
IVFYVKWDQAKUBA-UHFFFAOYSA-N,4638,49,24761470,COc1ccc(C(O)(CCC(C)C)C(CN2CCOCC2)c2ccccc2)cc1.Cl,0.3523725622919641,4.9912241514510045,14.164622009688266,1,4.9912241514510045,1.0,49,43,78,1,0.0128205128205128,1,0,yes
GJGHGWKBRWHDQR-NRFANRHFSA-N,4644,48,24747401,C=C1CCN([C@@H](CC(C)C)C(=O)Nc2ccc(OC)cc2)S(=O)(=O)c2ccccc21,0.3662121407213972,6.947244427019641,18.970546452486097,1,6.947244427019641,1.0,48,48,78,1,0.0128205128205128,1,0,yes
POAKEIXFPDIYHH-UHFFFAOYSA-N,4668,48,926663,c1ccc(-c2noc(-c3ccc4ccccc4c3)n2)nc1,0.301440573540946,3.4,11.279171745399308,1,6.8,1.0,48,30,33,2,0.0606060606060606,2,0,yes
HCZAFDOZYCVIKS-UHFFFAOYSA-N,4675,48,850362,CC(=O)c1cccc(NC(=O)c2cnn(-c3ccccc3)c2C)c1,0.5515800784624074,9.068139974858433,16.440296393838064,1,9.068139974858433,1.0,48,37,39,1,0.0256410256410256,0,1,yes
UDIGFMJQPQAKJL-UHFFFAOYSA-N,4690,48,2970106,CCOc1c(Br)cc(CNCc2cccs2)cc1OC.Cl,0.3333005222147934,5.2,15.601535711512904,1,5.2,1.0,48,26,75,1,0.0133333333333333,0,1,yes
QQLNYPYBEOSBSO-UHFFFAOYSA-N,4703,48,2396757,Cc1ccc(NC(=S)Nc2ccc3cn[nH]c3c2)cc1,0.4759718823599629,5.6207479183006805,11.80899151107813,1,5.6207479183006805,1.0,48,33,34,1,0.0294117647058823,0,1,yes
