gcm_cluster,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
3464,67,65,33,2,0.0606060606060606,2,0,yes
3501,66,66,44,4,0.0909090909090909,3,1,yes
3524,66,55,81,2,0.0246913580246913,2,0,yes
3537,65,65,42,1,0.0238095238095238,0,1,yes
3571,65,63,27,1,0.037037037037037,1,0,yes
3600,64,44,55,4,0.0727272727272727,4,0,yes
3607,64,64,13,2,0.1538461538461538,2,0,yes
3618,64,57,20,3,0.15,3,0,yes
3646,63,48,26,1,0.0384615384615384,0,1,yes
3655,63,41,64,1,0.015625,1,0,yes
3680,63,63,21,3,0.1428571428571428,2,1,yes
3685,62,62,13,1,0.0769230769230769,1,0,yes
3734,61,40,26,3,0.1153846153846153,1,2,yes
3754,61,57,88,1,0.0113636363636363,1,0,yes
3761,61,54,40,1,0.025,0,1,yes
3777,61,61,29,1,0.0344827586206896,0,1,yes
3807,60,31,81,1,0.0123456790123456,1,0,yes
3827,60,42,39,1,0.0256410256410256,0,1,yes
3870,59,57,20,1,0.05,1,0,yes
3895,59,28,47,3,0.0638297872340425,3,0,yes
3942,58,34,32,1,0.03125,1,0,yes
3948,58,36,70,1,0.0142857142857142,1,0,yes
3963,58,52,64,1,0.015625,0,1,yes
3983,58,58,72,3,0.0416666666666666,1,2,yes
3999,57,45,26,1,0.0384615384615384,1,0,yes
4027,57,57,19,1,0.0526315789473684,0,1,yes
4031,57,40,99,4,0.0404040404040404,1,3,yes
4042,57,32,62,3,0.0483870967741935,3,0,yes
4066,56,50,39,1,0.0256410256410256,1,0,yes
4130,55,35,40,1,0.025,1,0,yes
4137,55,30,62,1,0.0161290322580645,1,0,yes
4161,55,37,72,2,0.0277777777777777,1,1,yes
4186,55,54,52,1,0.0192307692307692,1,0,yes
4187,55,55,45,5,0.1111111111111111,4,1,yes
4191,55,29,20,1,0.05,0,1,yes
4215,54,42,41,1,0.024390243902439,1,0,yes
4228,54,40,45,1,0.0222222222222222,1,0,yes
4236,54,31,12,1,0.0833333333333333,1,0,yes
4240,54,44,35,1,0.0285714285714285,0,1,yes
4261,54,24,79,1,0.0126582278481012,1,0,yes
4268,54,41,63,1,0.0158730158730158,1,0,yes
4350,52,27,75,2,0.0266666666666666,0,2,yes
4374,52,42,74,2,0.027027027027027,1,1,yes
4404,52,52,19,2,0.1052631578947368,0,2,yes
4428,51,26,65,1,0.0153846153846153,1,0,yes
4449,51,26,33,4,0.1212121212121212,4,0,yes
4470,51,28,49,2,0.0408163265306122,2,0,yes
4490,50,43,36,1,0.0277777777777777,0,1,yes
4538,50,48,25,1,0.04,1,0,yes
4546,50,28,68,1,0.0147058823529411,0,1,yes
4556,50,49,18,1,0.0555555555555555,1,0,yes
4576,49,35,88,3,0.034090909090909,3,0,yes
4578,49,31,39,1,0.0256410256410256,0,1,yes
4609,49,32,86,1,0.0116279069767441,0,1,yes
4638,49,43,78,1,0.0128205128205128,1,0,yes
4644,48,48,78,1,0.0128205128205128,1,0,yes
4668,48,30,33,2,0.0606060606060606,2,0,yes
4675,48,37,39,1,0.0256410256410256,0,1,yes
4690,48,26,75,1,0.0133333333333333,0,1,yes
4703,48,33,34,1,0.0294117647058823,0,1,yes
4716,48,29,46,1,0.0217391304347826,1,0,yes
4732,48,48,50,1,0.02,0,1,yes
4773,47,32,78,1,0.0128205128205128,0,1,yes
4774,47,28,75,1,0.0133333333333333,1,0,yes
4785,47,47,71,1,0.0140845070422535,1,0,yes
4804,47,47,18,1,0.0555555555555555,1,0,yes
4858,46,46,57,3,0.0526315789473684,3,0,yes
4868,46,46,44,2,0.0454545454545454,1,1,yes
4930,45,45,22,1,0.0454545454545454,1,0,yes
4946,45,36,48,2,0.0416666666666666,2,0,yes
4965,45,31,18,1,0.0555555555555555,1,0,yes
4981,45,45,23,1,0.0434782608695652,1,0,yes
4993,44,32,88,1,0.0113636363636363,0,1,yes
4995,44,27,60,2,0.0333333333333333,2,0,yes
5015,44,30,87,1,0.0114942528735632,1,0,yes
5045,44,28,35,2,0.0571428571428571,2,1,yes
5047,44,34,39,1,0.0256410256410256,1,0,yes
5072,44,44,34,1,0.0294117647058823,1,0,yes
5132,43,35,56,1,0.0178571428571428,1,0,yes
5141,43,42,57,2,0.0350877192982456,0,2,yes
5159,43,43,60,1,0.0166666666666666,1,0,yes
